fuel_type,kms_run,sale_price,city,body_type,transmission,variant,registered_city,registered_state,rto,make,model,total_owners,car_rating,fitness_certificate,warranty_avail,age
petrol,59431,223599,noida,hatchback,manual,sportz 1.2 kappa2,raebarely,uttar pradesh,up33,hyundai,i10,1,great,True,False,10
petrol,40911,294399,noida,hatchback,manual,g,delhi,delhi,dl8c,toyota,etios liva,2,good,True,False,8
petrol,8326,897199,noida,suv,missing,zxi smart hybrid,new delhi,delhi,dl6c,maruti,ertiga,1,great,True,False,2
petrol,71538,256699,noida,hatchback,manual,magna o 1.2,sonipat,haryana,hr10,hyundai,i20,1,great,True,False,10
petrol,28840,221399,noida,hatchback,manual,t (o),delhi,delhi,dl1c,datsun,redi go,1,good,True,False,5
petrol,53095,354999,noida,hatchback,manual,zxi,delhi,delhi,dl9c,maruti,celerio,1,great,True,False,6
diesel,59922,276399,noida,hatchback,manual,magna 1.4 crdi,faridabad,haryana,hr51,hyundai,i20,1,good,True,False,9
petrol,28290,709899,noida,suv,manual,1.2 i-vtec vx mt,noida,uttar pradesh,up16,honda,wr-v,1,great,True,False,3
petrol,34205,509399,noida,hatchback,manual,zeta 1.2 k12,noida,uttar pradesh,up16,maruti,baleno,1,great,True,False,4
petrol,57972,369399,noida,hatchback,manual,vxi,delhi,delhi,dl7c,maruti,swift,3,great,True,False,6
petrol,61909,203099,noida,hatchback,manual,lxi 1.3,delhi,delhi,dl7c,maruti,swift,1,good,True,False,13
diesel,49367,479899,noida,luxury suv,manual,w8 fwd,noida,uttar pradesh,up16,mahindra,xuv500,3,good,True,False,9
diesel,64950,555999,noida,luxury suv,manual,w8 fwd,new delhi,delhi,dl8c,mahindra,xuv500,2,great,True,False,7
petrol,61261,232899,noida,sedan,manual,zxi,ghaziabad,uttar pradesh,up16,maruti,sx4,1,good,True,False,11
diesel,72461,301399,noida,sedan,manual,1.5 exmt i dtec,delhi,delhi,dl13,honda,amaze,1,great,True,False,8
diesel,67011,369299,noida,hatchback,manual,vdi,faridabad,haryana,hr29,maruti,swift,1,great,True,False,8
petrol,53171,480399,noida,hatchback,manual,sportz 1.2,noida,uttar pradesh,up16,hyundai,elite i20,1,great,True,False,6
petrol,93152,377799,noida,hatchback,missing,sportz(o) 1.2 mt,delhi,delhi,dl10,hyundai,grand i10,1,good,True,False,4
petrol,59541,275099,noida,hatchback,manual,comfortline 1.2l petrol,gurgaon,haryana,hr26,volkswagen,polo,2,good,True,False,10
petrol,89510,188399,noida,hatchback,manual,lxi,noida,uttar pradesh,up16,maruti,zen estilo,1,good,True,False,10
petrol,55538,359399,noida,hatchback,manual,xt 1.2 revotron,delhi,delhi,dl10,tata,tiago,1,great,True,False,5
diesel,50968,801099,noida,suv,manual,s8,delhi,delhi,dl8c,mahindra,scorpio,1,great,True,False,6
diesel,42841,1415109,noida,suv,manual,2.4 gx 7 str,noida,uttar pradesh,up16,toyota,innova crysta,1,great,True,False,4
petrol,65942,317199,noida,hatchback,manual,comfortline 1.2l petrol,gurgaon,haryana,hr26,volkswagen,polo,1,great,True,False,8
diesel,59831,1092313,noida,suv,manual,s10,ghaziabad,uttar pradesh,up14,mahindra,scorpio,1,great,True,False,5
petrol,61582,720299,noida,suv,manual,1.6 sx plus petrol,noida,uttar pradesh,up16,hyundai,creta,2,great,True,False,5
diesel,61330,1030804,noida,suv,manual,s10,noida,uttar pradesh,up16,mahindra,scorpio,2,great,True,False,5
diesel,58699,233099,noida,hatchback,manual,1.4 zxi duratorq,gurgaon,haryana,hr26,ford,figo,1,fair,True,False,9
petrol,96354,239299,noida,hatchback,manual,vxi,new delhi,delhi,dl7c,maruti,swift,2,good,True,False,12
petrol,95127,307099,noida,luxury suv,manual,2.4 mivec,delhi,delhi,dl7c,mitsubishi,outlander,3,great,True,False,12
diesel,81676,520499,noida,sedan,manual,fluidic 1.6 sx crdi opt,noida,uttar pradesh,up16,hyundai,verna,1,great,True,False,7
diesel,84334,510699,noida,sedan,manual,fluidic 1.4 crdi cx,delhi,delhi,dl12,hyundai,verna,1,great,True,False,7
diesel,73768,486299,noida,sedan,manual,highline 1.5,ghaziabad,uttar pradesh,up14,volkswagen,ameo,1,great,True,False,4
petrol,65057,208999,noida,hatchback,manual,lxi,delhi,delhi,dl7c,maruti,zen estilo,1,good,True,False,11
petrol,89988,206399,noida,hatchback,manual,vxi,delhi,delhi,dl9c,maruti,alto k10,2,good,True,False,9
petrol & cng,100780,358299,noida,hatchback,manual,vxi cng,delhi,delhi,dl9c,maruti,celerio,2,great,True,False,5
petrol,90659,251399,noida,hatchback,manual,1.2 s mt i vtec,delhi,delhi,dl2c,honda,brio,2,good,True,False,8
petrol,79800,220699,noida,hatchback,manual,gl plus,delhi,delhi,dl8c,hyundai,santro xing,1,great,True,False,8
petrol,90220,290899,noida,sedan,manual,lxi 1.2 bs iv,ghaziabad,uttar pradesh,up14,maruti,swift dzire,1,great,True,False,9
diesel,99113,413099,noida,suv,manual,1.5titanium tdci,noida,uttar pradesh,up16,ford,ecosport,1,great,True,False,8
diesel,60070,699399,noida,luxury suv,manual,w8 fwd,navi mumbai,maharashtra,mh43,mahindra,xuv500,1,great,True,False,7
diesel,110471,469099,noida,suv,manual,xv 110 diesel,ghaziabad,uttar pradesh,up14,nissan,terrano,1,great,True,False,7
petrol,86304,364599,noida,sedan,manual,1.2 smt i vtec,noida,uttar pradesh,up16,honda,amaze,1,great,True,False,7
petrol,108338,230799,noida,hatchback,manual,vxi genus,noida,uttar pradesh,up16,maruti,ritz,1,great,True,False,11
diesel,122256,299399,noida,hatchback,manual,sportz 1.4 crdi,ghaziabad,uttar pradesh,up14,hyundai,i20,1,great,True,False,9
petrol,168109,330899,noida,sedan,manual,g,noida,uttar pradesh,up16,toyota,etios,1,great,True,False,6
diesel,186207,440199,noida,suv,manual,vdi,noida,uttar pradesh,up14,maruti,ertiga,1,good,True,False,9
diesel,192715,377799,noida,sedan,manual,highline diesel,mathura,uttar pradesh,up85,volkswagen,vento,1,great,True,False,8
petrol,134937,751399,noida,luxury sedan,manual,gl,noida,uttar pradesh,up16,toyota,corolla altis,1,great,True,False,7
diesel,114155,1072517,noida,luxury suv,automatic,2.0 tdi quattro,delhi,delhi,dl1c,audi,q3,2,great,True,False,8
diesel,124714,818799,noida,suv,missing,1.6 sx at crdi,noida,uttar pradesh,up16,hyundai,creta,1,great,True,False,5
diesel,107465,1202706,noida,luxury sedan,automatic,2.0 tdi premium plus,delhi,delhi,dl1c,audi,a6,2,great,True,False,8
diesel,154297,1213917,noida,luxury suv,automatic,3.0 at 4x2,ghaziabad,uttar pradesh,up14,toyota,fortuner,1,great,True,False,8
diesel,214389,619299,noida,suv,manual,2.5 gx 7 str bs iv,new delhi,delhi,dl2c,toyota,innova,1,great,True,False,7
petrol & cng,158356,316399,noida,hatchback,manual,vxi cng,delhi,delhi,dl9c,maruti,celerio,1,great,True,False,6
petrol,27191,365799,noida,hatchback,manual,lxi opt,new delhi,delhi,dl8c,maruti,swift,1,great,True,False,6
petrol,15581,257699,noida,hatchback,manual,lxi,gurgaon,haryana,hr26,maruti,alto 800,1,great,True,False,4
petrol,15248,254299,noida,sedan,manual,vxi 1.2 bs iv,delhi,delhi,dl3c,maruti,swift dzire,1,great,True,False,10
petrol,17599,335199,noida,hatchback,manual,vxi,delhi,delhi,dl1c,maruti,alto k10,1,great,True,False,3
diesel,34861,506799,noida,suv,manual,lx bs iv,delhi,delhi,dl12,mahindra,scorpio,1,great,True,False,8
petrol,9218,568299,noida,hatchback,manual,vxi,new delhi,delhi,dl4c,maruti,swift,1,great,True,False,2
petrol,7794,513399,noida,hatchback,manual,sportz 1.2 kappa vtvt,new delhi,delhi,dl9c,hyundai,grand i10,1,great,True,False,2
petrol,14537,277899,noida,hatchback,missing,1.0 t(o) at,ghaziabad,uttar pradesh,up14,datsun,redi go,1,great,True,False,3
diesel,45994,356099,noida,hatchback,manual,vdi,noida,uttar pradesh,up16,maruti,swift,1,great,True,False,8
petrol,55388,190499,noida,hatchback,manual,magna 1.2 kappa2,new delhi,delhi,dl4c,hyundai,i10,2,great,True,False,11
petrol,51871,238199,noida,sedan,missing,zxi at,delhi,delhi,dl3c,maruti,sx4,1,good,True,False,11
petrol,41762,239399,noida,hatchback,manual,vxi bs iv,delhi,delhi,dl12,maruti,ritz,1,great,True,False,10
diesel,37219,551499,noida,suv,automatic,t8 at,delhi,delhi,dl12,mahindra,tuv300,1,great,True,False,5
petrol,11146,532799,noida,hatchback,missing,1.2 magna plus vtvt,delhi,delhi,dl12,hyundai,elite i20,1,great,True,False,1
petrol,48845,530499,noida,sedan,manual,v mt petrol,delhi,delhi,dl11,honda,city,1,great,True,False,7
petrol,21000,397699,noida,hatchback,missing,lxi 1.0 l,delhi,delhi,dl5c,maruti,new  wagon-r,1,great,True,False,2
petrol,37426,450999,noida,sedan,manual,1.2 smt i vtec,noida,uttar pradesh,up16,honda,amaze,1,great,True,False,4
petrol,31537,283999,noida,hatchback,manual,rxl,hathras,uttar pradesh,up86,renault,kwid,1,great,True,False,3
petrol,68453,174499,noida,hatchback,manual,era 1.1 irde,delhi,delhi,dl3c,hyundai,i10,1,great,True,False,11
petrol & cng,28074,791599,noida,sedan,manual,vx mt petrol,delhi,delhi,dl10,honda,city,1,great,True,False,4
diesel,68235,275699,noida,sedan,manual,s 1.1 crdi opt,new delhi,delhi,dl9c,hyundai,xcent,2,great,True,False,7
diesel,67411,271499,noida,sedan,manual,ldi bs iv,delhi,delhi,dl13,maruti,swift dzire,1,great,True,False,8
diesel,80671,336099,noida,sedan,manual,vdi bs iv,kanpur,uttar pradesh,up78,maruti,swift dzire,1,great,True,False,9
petrol,48907,189299,noida,hatchback,manual,vxi,new delhi,delhi,dl9c,maruti,ritz,1,great,True,False,12
diesel,57933,574199,noida,suv,manual,zdi,delhi,delhi,dl8c,maruti,ertiga,2,great,True,False,6
petrol,86251,175299,noida,hatchback,manual,magna 1.2 vtvt,delhi,delhi,dl7c,hyundai,i20,2,great,True,False,12
petrol & cng,50244,313399,noida,hatchback,manual,lxi,bulandshahr,uttar pradesh,up13,maruti,alto,2,great,True,False,2
petrol & cng,70930,274799,noida,hatchback,manual,lxi cng,delhi,delhi,dl5c,maruti,alto k10,1,good,True,False,7
petrol & cng,83630,218899,noida,hatchback,manual,lxi cng,gurgaon,haryana,hr72,maruti,wagon r 1.0,1,great,True,False,9
diesel,38712,949499,noida,sedan,automatic,1.6 crdi sx + at,ghaziabad,uttar pradesh,up14,hyundai,verna,1,great,True,False,3
diesel,39663,732399,noida,suv,manual,zdi plus,ghaziabad,uttar pradesh,up14,maruti,vitara brezza,1,great,True,False,4
diesel,38307,747999,noida,sedan,manual,1.6 crdi sx,delhi,delhi,dl5c,hyundai,verna,1,great,True,False,4
diesel,71692,579599,noida,suv,automatic,t8 at,delhi,delhi,dl12,mahindra,tuv300,2,great,True,False,6
diesel,25800,846799,noida,sedan,missing,1.4 crdi ex mt,delhi,delhi,dl11,hyundai,verna,1,great,True,False,2
diesel,89257,419599,noida,suv,manual,vdi,delhi,delhi,dl12,maruti,ertiga,1,great,True,False,9
petrol & cng,42277,523699,noida,hatchback,manual,asta 1.2,delhi,delhi,dl10,hyundai,elite i20,1,great,True,False,3
diesel,28572,780799,noida,suv,manual,zdi plus,ghaziabad,uttar pradesh,up14,maruti,vitara brezza,1,great,True,False,3
petrol,11844,791199,noida,suv,manual,1.5 titanium ti vct,delhi,delhi,dl12,ford,ecosport,1,great,True,False,3
diesel,81227,380599,noida,suv,manual,zdi,delhi,delhi,dl8c,maruti,ertiga,2,great,True,False,9
diesel,84027,283299,noida,sedan,manual,fluidic 1.4 crdi,new delhi,delhi,dl7c,hyundai,verna,2,great,True,False,9
petrol,10643,877199,noida,suv,missing,alpha shvs  mt,gurgaon,haryana,hr26,maruti,xl6,2,great,True,False,2
diesel,50873,1280577,noida,suv,missing,xz 2.0l kryotec,gurgaon,haryana,hr95,tata,harrier,1,great,True,False,2
diesel,74867,514499,noida,sedan,manual,vx mt diesel,new delhi,delhi,dl3c,honda,city,2,great,True,False,7
petrol,86619,273199,noida,sedan,automatic,1.8v at,delhi,delhi,dl3c,honda,civic,2,great,True,False,11
petrol,89564,177099,noida,hatchback,manual,vxi 1.3,delhi,delhi,dl3c,maruti,swift,2,great,True,False,12
diesel,75854,488299,noida,sedan,manual,fluidic 1.6 sx crdi opt,noida,uttar pradesh,up16,hyundai,verna,1,great,True,False,7
petrol,76938,273899,noida,hatchback,manual,1.2 s mt i vtec,delhi,delhi,dl2c,honda,brio,1,great,True,False,7
petrol & cng,87634,297599,noida,hatchback,manual,magna 1.1 irde2,delhi,delhi,dl3c,hyundai,i10,1,good,True,False,6
diesel,19492,2055348,noida,luxury sedan,manual,cla 200 cdi sport,delhi,delhi,dl2c,mercedes benz,cla class,2,great,True,False,5
diesel,81175,538099,noida,hatchback,manual,alpha ddis 190,ghaziabad,uttar pradesh,up14,maruti,baleno,1,great,True,False,5
petrol,88696,200799,noida,hatchback,manual,magna 1.2 kappa2,delhi,delhi,dl12,hyundai,i10,1,great,True,False,9
diesel,56926,569899,noida,sedan,manual,1.5 smt i dtec,ghaziabad,uttar pradesh,up14,honda,amaze,1,great,True,False,3
diesel,57860,770199,noida,sedan,manual,alpha 1.3 ddis shvs,ghaziabad,uttar pradesh,up14,maruti,ciaz,1,great,True,False,3
diesel,99569,266299,noida,suv,manual,k4+ d 6 str,faridabad,haryana,hr51,mahindra,kuv100,1,great,True,False,5
petrol,133196,201899,noida,sedan,missing,1.5 e mt petrol,delhi,delhi,dl4c,honda,city,2,great,True,False,12
petrol & cng,105847,280699,noida,suv,manual,7 str,gurgaon,haryana,hr26,maruti,eeco,1,great,True,False,4
petrol & cng,109466,105999,noida,hatchback,manual,lxi,delhi,delhi,dl9c,maruti,alto,2,great,False,False,12
petrol,76749,1663670,noida,luxury sedan,automatic,40 tfsi premium,delhi,delhi,dl1c,audi,a3,1,great,True,False,5
petrol,95093,288599,noida,sedan,manual,vxi 1.2 bs iv,new delhi,delhi,dl8c,maruti,swift dzire,1,great,True,False,8
diesel,82866,504199,noida,luxury suv,manual,w4,delhi,delhi,dl10,mahindra,xuv500,2,great,True,False,7
petrol,118659,444299,noida,luxury sedan,automatic,vl at,delhi,delhi,dl3c,toyota,corolla altis,2,great,True,False,9
petrol,93529,478899,noida,sedan,manual,sv mt petrol,ghaziabad,uttar pradesh,up14,honda,city,2,great,True,True,7
diesel,109022,754099,noida,suv,missing,1.6 sx crdi,noida,uttar pradesh,up16,hyundai,creta,1,great,True,False,4
petrol,93866,234299,noida,hatchback,manual,sportz 1.2 kappa2,meerut,uttar pradesh,up15,hyundai,i10,1,great,True,False,8
